pair,direction,entry_price,exit_price,position_size,pnl,pips,entry_time,exit_time,duration,reason,confidence,risk_reward,balance_before,balance_after
EURUSD=X,long,1.0826854373931885,1.0845163200378418,16892.39923809655,30.928000591586688,18.308826446533644,2024-07-08 01:00:00+01:00,2024-07-08 13:00:00+01:00,0 days 12:00:00,Take Profit,0.5518515110015869,2.0,1000.0,1030.9280005915866
EURUSD=X,long,1.0830369855880737,1.0814657543182373,19073.216615447323,-29.968434362553673,-15.712312698363817,2024-07-08 20:00:00+01:00,2024-07-09 12:00:00+01:00,0 days 16:00:00,Stop Loss,0.6804226040840149,2.0,1030.9280005915866,1000.9595662290329
EURUSD=X,long,1.081748810005188,1.0827542875289917,24311.59017946206,24.4447574933772,10.05477523803755,2024-07-09 16:00:00+01:00,2024-07-10 12:00:00+01:00,0 days 20:00:00,Take Profit,0.733290433883667,2.0,1000.9595662290329,1025.40432372241
EURUSD=X,short,1.0890059803009033,1.08715650100708,17833.446988275402,32.9825909423106,18.494792938232862,2024-07-11 13:00:00+01:00,2024-07-11 17:00:00+01:00,0 days 04:00:00,Take Profit,0.5497281551361084,2.0,1025.40432372241,1058.3869146647207
EURUSD=X,long,1.0866840745925903,1.0891245935440064,14134.513086447343,34.49554705651304,24.405189514160597,2024-07-11 18:00:00+01:00,2024-07-12 11:00:00+01:00,0 days 17:00:00,Take Profit,0.7428846955299377,2.0,1058.3869146647207,1092.8824617212338
EURUSD=X,short,1.0909074876785279,1.0890501405715942,24087.33466649105,44.738541356549476,18.573471069336378,2024-07-12 15:00:00+01:00,2024-07-15 00:00:00+01:00,2 days 09:00:00,Take Profit,0.5442603230476379,2.0,1092.8824617212338,1137.6210030777831
EURUSD=X,long,1.0892873670578003,1.0913838479995728,17431.376817743556,36.54454928725442,20.96480941772505,2024-07-15 01:00:00+01:00,2024-07-15 10:00:00+01:00,0 days 09:00:00,Take Profit,0.5026704668998718,2.0,1137.6210030777831,1174.1655523650375
EURUSD=X,short,1.091026577758789,1.0892873670578003,18804.28902006043,32.70462068817555,17.392107009888136,2024-07-15 11:00:00+01:00,2024-07-16 06:00:00+01:00,0 days 19:00:00,Take Profit,0.5481190085411072,2.0,1174.1655523650375,1206.870173053213
EURUSD=X,short,1.090074691581726,1.0885761644363403,24998.751941342252,37.46130838486699,14.985271453857862,2024-07-16 09:00:00+01:00,2024-07-16 13:00:00+01:00,0 days 04:00:00,Take Profit,0.5353652834892273,2.0,1206.870173053213,1244.33148143808
EURUSD=X,long,1.0888130332946777,1.09031251411438,22285.761300777594,33.41707162297739,14.994808197021925,2024-07-16 14:00:00+01:00,2024-07-16 20:00:00+01:00,0 days 06:00:00,Take Profit,0.5692952871322632,2.0,1244.33148143808,1277.7485530610572
EURUSD=X,short,1.0942511890411377,1.0916647579193115,26957.40803044057,69.72347909369944,25.86431121826216,2024-07-17 09:00:00+01:00,2024-07-18 14:00:00+01:00,1 days 05:00:00,Take Profit,0.5381190180778503,2.0,1277.7485530610572,1347.4720321547566
EURUSD=X,long,1.0891687538146972,1.087939295578003,33055.05311815036,-40.639807320477296,-12.294582366942919,2024-07-19 02:00:00+01:00,2024-07-19 09:00:00+01:00,0 days 07:00:00,Stop Loss,0.5568215250968933,2.0,1347.4720321547566,1306.8322248342793
EURUSD=X,long,1.0889316465377807,1.0899559591293335,29585.702440490568,30.305007539728255,10.243125915527784,2024-07-19 11:00:00+01:00,2024-07-22 00:00:00+01:00,2 days 13:00:00,Take Profit,0.6451500058174133,2.0,1306.8322248342793,1337.1372323740075
EURUSD=X,long,1.0889316465377807,1.0875841711044312,25986.521063277887,-35.01619873098798,-13.474754333495653,2024-07-22 06:00:00+01:00,2024-07-23 08:00:00+01:00,1 days 02:00:00,Stop Loss,0.7116650342941284,2.0,1337.1372323740075,1302.1210336430195
EURUSD=X,long,1.0862122442245483,1.0849871967315674,31656.095426887172,-38.78022034027268,-12.25047492980913,2024-07-23 12:00:00+01:00,2024-07-23 14:00:00+01:00,0 days 02:00:00,Stop Loss,0.7296865582466125,2.0,1302.1210336430195,1263.3408133027467
