pair,direction,entry_price,exit_price,position_size,pnl,pips,entry_time,exit_time,duration,reason,confidence,risk_reward,balance_before,balance_after
USDJPY=X,short,145.84500549316405,146.13799621582032,122.50832847247382,-35.89380369056186,-29.299072265627046,2025-07-07 16:00:00+01:00,2025-07-07 17:00:00+01:00,0 days 01:00:00,Stop Loss,0.5619168877601624,2.0,1000.0,964.1061963094381
USDJPY=X,short,146.0300030517578,146.26600219726564,103.55811328256934,-24.43962624508973,-23.599914550783296,2025-07-07 20:00:00+01:00,2025-07-08 02:00:00+01:00,0 days 06:00:00,Stop Loss,0.5507195591926575,2.0,964.1061963094381,939.6665700643484
USDJPY=X,long,146.09200622558595,146.56700561523436,95.04357685368706,45.14564099550377,47.499938964841704,2025-07-08 04:00:00+01:00,2025-07-08 12:00:00+01:00,0 days 08:00:00,Take Profit,0.5162336826324463,2.0,939.6665700643484,984.8122110598522
USDJPY=X,short,146.6290020751953,146.93799926757814,103.56533946256506,-32.00139912210762,-30.899719238283296,2025-07-08 13:00:00+01:00,2025-07-08 15:00:00+01:00,0 days 02:00:00,Stop Loss,0.5357497930526733,2.0,984.8122110598522,952.8108119377446
USDJPY=X,short,146.76900146484374,147.07599975585939,92.16471582350411,-28.29441024975838,-30.699829101564546,2025-07-09 01:00:00+01:00,2025-07-09 03:00:00+01:00,0 days 02:00:00,Stop Loss,0.5345145463943481,2.0,952.8108119377446,924.5164016879862
USDJPY=X,short,147.01900146484374,146.697001953125,105.11745950731093,33.847770634467444,32.199951171872954,2025-07-09 05:00:00+01:00,2025-07-09 09:00:00+01:00,0 days 04:00:00,Take Profit,0.5382135510444641,2.0,924.5164016879862,958.3641723224537
USDJPY=X,long,145.83399536132814,146.23100708007811,106.58680506562771,42.316210675173885,39.701171874997954,2025-07-10 01:00:00+01:00,2025-07-10 04:00:00+01:00,0 days 03:00:00,Take Profit,0.5199737548828125,2.0,958.3641723224537,1000.6803829976276
USDJPY=X,long,146.23800231933595,146.74199340820311,97.47299103255651,49.12551888563776,50.399108886716704,2025-07-10 05:00:00+01:00,2025-07-11 02:00:00+01:00,0 days 21:00:00,Take Profit,0.5254908204078674,2.0,1000.6803829976276,1049.8059018832653
USDJPY=X,short,146.99800537109374,147.30399658203126,110.2785725672919,-33.74427396032687,-30.599121093752046,2025-07-11 03:00:00+01:00,2025-07-11 14:00:00+01:00,0 days 11:00:00,Stop Loss,0.5136743187904358,2.0,1049.8059018832653,1016.0616279229384
USDJPY=X,short,147.36999938964843,146.97100402832032,102.97643248990497,41.087118889588794,39.899536132810454,2025-07-11 18:00:00+01:00,2025-07-14 01:00:00+01:00,2 days 07:00:00,Take Profit,0.536990225315094,2.0,1016.0616279229384,1057.1487468125272
USDJPY=X,short,147.25499389648436,147.71000244140626,83.86911240322517,-38.16116279848238,-45.500854492189546,2025-07-14 03:00:00+01:00,2025-07-14 16:00:00+01:00,0 days 13:00:00,Stop Loss,0.5343707799911499,2.0,1057.1487468125272,1018.9875840140448
USDJPY=X,short,147.66400573730468,147.92899658203126,122.9350907931134,-32.576673555806295,-26.499084472658296,2025-07-14 21:00:00+01:00,2025-07-15 12:00:00+01:00,0 days 15:00:00,Stop Loss,0.5853219032287598,2.0,1018.9875840140448,986.4109104582385
USDJPY=X,short,148.7540020751953,149.05500366210939,73.3410314847461,-22.0757668628243,-30.100158691408296,2025-07-16 00:00:00+01:00,2025-07-16 04:00:00+01:00,0 days 04:00:00,Stop Loss,0.5447028279304504,2.0,986.4109104582385,964.3351435954143
