timestamp,balance,equity
2025-07-07 16:00:00+01:00,1000.0,1000.0
2025-07-07 17:00:00+01:00,1000.0,1000.0
2025-07-07 18:00:00+01:00,1000.0,1000.0
2025-07-07 19:00:00+01:00,1000.0,1000.0
2025-07-07 20:00:00+01:00,1000.0,1000.0
2025-07-07 21:00:00+01:00,1000.0,1000.0
2025-07-07 22:00:00+01:00,1000.0,1000.0
2025-07-07 23:00:00+01:00,1000.0,1000.0
2025-07-08 00:00:00+01:00,1000.0,1000.0
2025-07-08 01:00:00+01:00,1000.0,1000.0
2025-07-08 02:00:00+01:00,1000.0,1000.0
2025-07-08 03:00:00+01:00,1000.0,1000.0
2025-07-08 04:00:00+01:00,1000.0,1000.0
2025-07-08 05:00:00+01:00,1000.0,1000.0
2025-07-08 06:00:00+01:00,1000.0,1000.0
2025-07-08 07:00:00+01:00,1000.0,1000.0
2025-07-08 08:00:00+01:00,1000.0,1000.0
2025-07-08 09:00:00+01:00,1000.0,1000.0
2025-07-08 10:00:00+01:00,1000.0,1000.0
2025-07-08 11:00:00+01:00,1000.0,1000.0
2025-07-08 12:00:00+01:00,1000.0,1000.0
2025-07-08 13:00:00+01:00,1000.0,1000.0
2025-07-08 14:00:00+01:00,1000.0,1000.0
2025-07-08 15:00:00+01:00,1000.0,1000.0
2025-07-08 16:00:00+01:00,1000.0,1000.0
2025-07-08 17:00:00+01:00,1000.0,1000.0
2025-07-08 18:00:00+01:00,1000.0,1000.0
2025-07-08 19:00:00+01:00,1000.0,1000.0
2025-07-08 20:00:00+01:00,1000.0,1000.0
2025-07-08 21:00:00+01:00,1000.0,1000.0
2025-07-08 22:00:00+01:00,1000.0,1000.0
2025-07-08 23:00:00+01:00,1000.0,1000.0
2025-07-09 00:00:00+01:00,1000.0,1000.0
2025-07-09 01:00:00+01:00,1000.0,1000.0
2025-07-09 02:00:00+01:00,1000.0,1000.0
2025-07-09 03:00:00+01:00,1000.0,1000.0
2025-07-09 04:00:00+01:00,1000.0,1000.0
2025-07-09 05:00:00+01:00,1000.0,1000.0
2025-07-09 06:00:00+01:00,1000.0,1000.0
2025-07-09 07:00:00+01:00,1000.0,1000.0
2025-07-09 08:00:00+01:00,1000.0,1000.0
2025-07-09 09:00:00+01:00,1000.0,1000.0
2025-07-09 10:00:00+01:00,1000.0,1000.0
2025-07-09 11:00:00+01:00,1000.0,1000.0
2025-07-09 12:00:00+01:00,1000.0,1000.0
2025-07-09 13:00:00+01:00,1000.0,1000.0
2025-07-09 14:00:00+01:00,1000.0,1000.0
2025-07-09 15:00:00+01:00,1000.0,1000.0
2025-07-09 16:00:00+01:00,1000.0,1000.0
